	2rbina2rista	basta	brb	eldzhey	face	feduk	gnoiny	guf	husky	kasta	korzh	krovostok	kunteynir	lizer	lsp	morgenshtern	noizemc	skriptonite	timati	xleb
2rbina2rista		0,15965294	0,252562061	0,244645044	0,244526483	0,21927528	0,127934132	0,172775827	0,160275977	0,120885078	0,145316789	0,126439212	0,131613642	0,235009322	0,165517402	0,284481014	0,123347163	0,151097482	0,247734696	0,236939728
basta	0,15965294		0,132478924	0,086771224	0,058625476	0,083416373	0,039545488	0,072441419	0,078226458	0,08981714	0,056298125	0,117735894	0,122271206	0,060541559	0,047935291	0,093675032	0,090196117	0,043796756	0,05321429	0,143322533
brb	0,252562061	0,132478924		0,154722176	0,113855995	0,211985547	0,139355453	0,149231035	0,140015956	0,21231655	0,182218258	0,223897563	0,197524121	0,145906921	0,179695439	0,137470218	0,221830715	0,156542578	0,156048265	0,221132098
eldzhey	0,244645044	0,086771224	0,154722176		0,081584348	0,138426945	0,107240004	0,107751943	0,134297129	0,1834948	0,162680005	0,189134055	0,196318409	0,11301304	0,100593446	0,085615618	0,181613031	0,112587604	0,126239234	0,180582289
face	0,244526483	0,058625476	0,113855995	0,081584348		0,15639087	0,102998829	0,111841154	0,109401112	0,200077015	0,131870748	0,229515448	0,211051488	0,034260454	0,113528525	0,042909225	0,203366467	0,096333158	0,058331118	0,190473293
feduk	0,21927528	0,083416373	0,211985547	0,138426945	0,15639087		0,10182264	0,138823772	0,169778554	0,114292188	0,131818801	0,146709211	0,187300272	0,174453676	0,078882038	0,199738892	0,118918085	0,119048113	0,132086715	0,165153809
gnoiny	0,127934132	0,039545488	0,139355453	0,107240004	0,102998829	0,10182264		0,054172003	0,075205069	0,05184489	0,060536812	0,062870347	0,07806098	0,113410177	0,048597245	0,128624628	0,053838016	0,041977519	0,110167939	0,133397124
guf	0,172775827	0,072441419	0,149231035	0,107751943	0,111841154	0,138823772	0,054172003		0,122828876	0,082137614	0,089896203	0,086604988	0,130393284	0,113782235	0,061985599	0,099784143	0,08391847	0,084372298	0,146423866	0,129264473
husky	0,160275977	0,078226458	0,140015956	0,134297129	0,109401112	0,169778554	0,075205069	0,122828876		0,134740984	0,10938419	0,128272722	0,095109508	0,119417759	0,125786284	0,146210931	0,135968387	0,083811095	0,140332084	0,197216921
kasta	0,120885078	0,08981714	0,21231655	0,1834948	0,200077015	0,114292188	0,05184489	0,082137614	0,134740984		0,06215316	0,038309241	0,08348879	0,198213446	0,066436624	0,236930498	0,020912577	0,066707656	0,176853138	0,138644268
korzh	0,145316789	0,056298125	0,182218258	0,162680005	0,131870748	0,131818801	0,060536812	0,089896203	0,10938419	0,06215316		0,095644807	0,117727582	0,102150319	0,083147693	0,166977111	0,051970801	0,049929088	0,111159711	0,154323956
krovostok	0,126439212	0,117735894	0,223897563	0,189134055	0,229515448	0,146709211	0,062870347	0,086604988	0,128272722	0,038309241	0,095644807		0,070450153	0,230084558	0,086891685	0,245079557	0,036305159	0,095708245	0,225033982	0,168438817
kunteynir	0,131613642	0,122271206	0,197524121	0,196318409	0,211051488	0,187300272	0,07806098	0,130393284	0,095109508	0,08348879	0,117727582	0,070450153		0,230489701	0,138825802	0,253372613	0,08950615	0,100471111	0,216774153	0,200759787
lizer	0,235009322	0,060541559	0,145906921	0,11301304	0,034260454	0,174453676	0,113410177	0,113782235	0,119417759	0,198213446	0,102150319	0,230084558	0,230489701		0,114600956	0,048415302	0,189899214	0,096242521	0,071575611	0,203380298
lsp	0,165517402	0,047935291	0,179695439	0,100593446	0,113528525	0,078882038	0,048597245	0,061985599	0,125786284	0,066436624	0,083147693	0,086891685	0,138825802	0,114600956		0,124652583	0,067040794	0,0627449	0,113181329	0,137358077
morgenshtern	0,284481014	0,093675032	0,137470218	0,085615618	0,042909225	0,199738892	0,128624628	0,099784143	0,146210931	0,236930498	0,166977111	0,245079557	0,253372613	0,048415302	0,124652583		0,232608748	0,138383895	0,099779976	0,21131307
noizemc	0,123347163	0,090196117	0,221830715	0,181613031	0,203366467	0,118918085	0,053838016	0,08391847	0,135968387	0,020912577	0,051970801	0,036305159	0,08950615	0,189899214	0,067040794	0,232608748		0,0717805	0,189281148	0,143941435
skriptonite	0,151097482	0,043796756	0,156542578	0,112587604	0,096333158	0,119048113	0,041977519	0,084372298	0,083811095	0,066707656	0,049929088	0,095708245	0,100471111	0,096242521	0,0627449	0,138383895	0,0717805		0,098651575	0,152230275
timati	0,247734696	0,05321429	0,156048265	0,126239234	0,058331118	0,132086715	0,110167939	0,146423866	0,140332084	0,176853138	0,111159711	0,225033982	0,216774153	0,071575611	0,113181329	0,099779976	0,189281148	0,098651575		0,206032673
xleb	0,236939728	0,143322533	0,221132098	0,180582289	0,190473293	0,165153809	0,133397124	0,129264473	0,197216921	0,138644268	0,154323956	0,168438817	0,200759787	0,203380298	0,137358077	0,21131307	0,143941435	0,152230275	0,206032673	
